locationid,zone,borough,estimated_total_votes,trump,clinton,johnson,stein
186,Penn Station/Madison Sq West,Manhattan,1213,0.105093413786397,0.870830929093888,0.0153433085648114,0.00873234855490318
187,Port Richmond,Staten Island,6684,0.434182809376105,0.541040485459581,0.0116843556604663,0.0130923495038477
188,Prospect-Lefferts Gardens,Brooklyn,24298,0.0384726004227791,0.940048122439957,0.00460960277225212,0.0168696743650122
189,Prospect Heights,Brooklyn,11420,0.0215013606674165,0.95307859512885,0.00690659669215693,0.0185134475115771
190,Prospect Park,Brooklyn,364,0.0225216763996607,0.955888279837101,0.00365245249341003,0.0179375912698279
191,Queens Village,Queens,19274,0.0978073066785089,0.886538956314802,0.00561877992382398,0.0100349570828651
192,Queensboro Hill,Queens,4149,0.311256408636027,0.660604008949884,0.013660559534903,0.0144790228791853
193,Queensbridge/Ravenswood,Queens,4334,0.0699812340923713,0.911382201003087,0.0047498859853071,0.013886678919234
194,Randalls Island,Manhattan,60,0.166666666666667,0.816666666666667,0,0.0166666666666667
195,Red Hook,Brooklyn,3876,0.0414290955032361,0.936216203449749,0.00569684312904973,0.0166578579179656
196,Rego Park,Queens,8601,0.326294402371137,0.645647197041367,0.012669745380151,0.0153886552073457
197,Richmond Hill,Queens,15284,0.16164791509026,0.818803236265214,0.00856092526714791,0.010987923377378
198,Ridgewood,Queens,17164,0.223779956022088,0.739308478937356,0.0113879031048685,0.0255236619356883
200,Riverdale/North Riverdale/Fieldston,Bronx,11238,0.209739560316842,0.758830527609264,0.0134724480356183,0.0179574640382757
201,Rockaway Park,Queens,8041,0.515428351243769,0.456056017348377,0.0157939352313283,0.0127216961765257
202,Roosevelt Island,Manhattan,3101,0.117336386535649,0.843654370740617,0.0141840770088427,0.0248251657148907
203,Rosedale,Queens,10894,0.0449149256616578,0.940673401305485,0.00529664968229598,0.0091150233505615
204,Rossville/Woodrow,Staten Island,8900,0.765756394373519,0.214921038941451,0.0125778891037343,0.00674467758129595
205,Saint Albans,Queens,19921,0.0228226523092401,0.963949594104899,0.00366439287987898,0.00956336070598168
206,Saint George/New Brighton,Staten Island,11121,0.198950388397261,0.767574031274292,0.0120523456003139,0.0214232347281337
207,Saint Michaels Cemetery/Woodside,Queens,96,0.309090909090909,0.678787878787879,0.00606060606060606,0.00606060606060606
208,Schuylerville/Edgewater Park,Bronx,14322,0.363154016320365,0.615910894892204,0.00994278093276327,0.0109923078546675
209,Seaport,Manhattan,3333,0.199772212170966,0.769591074521391,0.0183013010269985,0.0123354122806444
210,Sheepshead Bay,Brooklyn,15797,0.483652672192158,0.490206255933509,0.01368873226875,0.0124523396055833
211,SoHo,Manhattan,2743,0.0805809702334354,0.892015273237427,0.0125494026909767,0.0148543538381607
212,Soundview/Bruckner,Bronx,8282,0.0615778552398095,0.923189057676812,0.00521953002380551,0.0100135570595725
213,Soundview/Castle Hill,Bronx,19547,0.0555635454680536,0.93052293691785,0.00551835832306509,0.0083951592910311
214,South Beach/Dongan Hills,Staten Island,8716,0.60966775150618,0.363961137765047,0.0154257428006061,0.0109453679281675
215,South Jamaica,Queens,10836,0.0332154152155927,0.953573345548209,0.00317825231859146,0.0100329869176067
216,South Ozone Park,Queens,21259,0.131951958345594,0.85610604321434,0.0042911171965839,0.00765088124348248
217,South Williamsburg,Brooklyn,3541,0.388401667611466,0.590243873416151,0.00983425520513947,0.0115202037672436
218,Springfield Gardens North,Queens,12002,0.023124590641625,0.964572194162154,0.00322548539256584,0.00907772980365519
219,Springfield Gardens South,Queens,6020,0.0254456582403061,0.962165893237261,0.00340586938061392,0.00898257914181888
220,Spuyten Duyvil/Kingsbridge,Bronx,12328,0.161519442812514,0.809429957945378,0.0115055228085874,0.0175450764335204
221,Stapleton,Staten Island,7920,0.312817448466939,0.65759965246117,0.0122189321864843,0.0173639668854075
222,Starrett City,Brooklyn,5270,0.129960674015383,0.859224940981609,0.00407921135002575,0.00673517365298182
223,Steinway,Queens,16971,0.229521166815281,0.734097735159994,0.0162418572543837,0.0201392407703414
224,Stuy Town/Peter Cooper Village,Manhattan,10545,0.148560801280023,0.814458859704983,0.0184891348930122,0.0184912041219811
225,Stuyvesant Heights,Brooklyn,22643,0.0187680949008917,0.956570113037716,0.0046445453530264,0.0200172467083655
226,Sunnyside,Queens,18346,0.151376931404697,0.816961180019781,0.0125971508813233,0.0190647376941983
227,Sunset Park East,Brooklyn,10074,0.210969774036395,0.759095089750968,0.0112280417950231,0.0187070944176148
228,Sunset Park West,Brooklyn,12534,0.120289781939003,0.846932699490645,0.0103958317615805,0.0223816868087717
229,Sutton Place/Turtle Bay North,Manhattan,12390,0.192675028760698,0.78062657178678,0.0191664658212816,0.00753193363123977
230,Times Sq/Theatre District,Manhattan,2265,0.153710247277875,0.812123894044843,0.018423316631599,0.0157425420456828
231,TriBeCa/Civic Center,Manhattan,8657,0.0986399948683935,0.868148720530618,0.0228972756210101,0.0103140089799789
232,Two Bridges/Seward Park,Manhattan,15946,0.130475073069111,0.845985841584171,0.00914267879698531,0.0143964065497331
