car_type,pickup_hour,trips
uber,2016-12-21T11:00:00Z,152
uber,2016-12-21T12:00:00Z,152
uber,2016-12-21T13:00:00Z,152
uber,2016-12-21T14:00:00Z,73
uber,2016-12-21T15:00:00Z,67
uber,2016-12-21T16:00:00Z,91
uber,2016-12-21T17:00:00Z,140
uber,2016-12-21T18:00:00Z,140
uber,2016-12-21T19:00:00Z,230
uber,2016-12-21T20:00:00Z,262
uber,2016-12-21T21:00:00Z,214
uber,2016-12-21T22:00:00Z,202
uber,2016-12-21T23:00:00Z,183
uber,2016-12-22T00:00:00Z,186
uber,2016-12-22T01:00:00Z,232
uber,2016-12-22T02:00:00Z,338
uber,2016-12-22T03:00:00Z,262
uber,2016-12-22T04:00:00Z,236
uber,2016-12-22T05:00:00Z,257
uber,2016-12-22T06:00:00Z,116
uber,2016-12-22T07:00:00Z,62
uber,2016-12-22T08:00:00Z,12
uber,2016-12-22T09:00:00Z,18
uber,2016-12-22T10:00:00Z,173
uber,2016-12-22T11:00:00Z,159
uber,2016-12-22T12:00:00Z,142
uber,2016-12-22T13:00:00Z,116
uber,2016-12-22T14:00:00Z,97
uber,2016-12-22T15:00:00Z,105
uber,2016-12-22T16:00:00Z,96
uber,2016-12-22T17:00:00Z,132
uber,2016-12-22T18:00:00Z,194
uber,2016-12-22T19:00:00Z,212
uber,2016-12-22T20:00:00Z,265
uber,2016-12-22T21:00:00Z,248
uber,2016-12-22T22:00:00Z,186
uber,2016-12-22T23:00:00Z,169
uber,2016-12-23T00:00:00Z,188
uber,2016-12-23T01:00:00Z,248
uber,2016-12-23T02:00:00Z,308
uber,2016-12-23T03:00:00Z,273
uber,2016-12-23T04:00:00Z,325
uber,2016-12-23T05:00:00Z,282
uber,2016-12-23T06:00:00Z,85
uber,2016-12-23T07:00:00Z,55
uber,2016-12-23T08:00:00Z,32
uber,2016-12-23T09:00:00Z,22
uber,2016-12-23T10:00:00Z,148
uber,2016-12-23T11:00:00Z,198
uber,2016-12-23T12:00:00Z,169
uber,2016-12-23T13:00:00Z,114
uber,2016-12-23T14:00:00Z,108
uber,2016-12-23T15:00:00Z,149
uber,2016-12-23T16:00:00Z,92
uber,2016-12-23T17:00:00Z,127
uber,2016-12-23T18:00:00Z,197
uber,2016-12-23T19:00:00Z,251
uber,2016-12-23T20:00:00Z,275
uber,2016-12-23T21:00:00Z,202
uber,2016-12-23T22:00:00Z,201
uber,2016-12-23T23:00:00Z,209
uber,2016-12-24T00:00:00Z,174
uber,2016-12-24T01:00:00Z,244
uber,2016-12-24T02:00:00Z,331
uber,2016-12-24T03:00:00Z,266
uber,2016-12-24T04:00:00Z,219
uber,2016-12-24T05:00:00Z,206
uber,2016-12-24T06:00:00Z,94
uber,2016-12-24T07:00:00Z,61
uber,2016-12-24T08:00:00Z,16
uber,2016-12-24T09:00:00Z,17
uber,2016-12-24T10:00:00Z,68
uber,2016-12-24T11:00:00Z,164
uber,2016-12-24T12:00:00Z,89
uber,2016-12-24T13:00:00Z,121
uber,2016-12-24T14:00:00Z,157
uber,2016-12-24T15:00:00Z,119
uber,2016-12-24T16:00:00Z,138
uber,2016-12-24T17:00:00Z,152
uber,2016-12-24T18:00:00Z,162
uber,2016-12-24T19:00:00Z,153
uber,2016-12-24T20:00:00Z,234
uber,2016-12-24T21:00:00Z,219
uber,2016-12-24T22:00:00Z,190
uber,2016-12-24T23:00:00Z,169
uber,2016-12-25T00:00:00Z,163
uber,2016-12-25T01:00:00Z,216
uber,2016-12-25T02:00:00Z,233
uber,2016-12-25T03:00:00Z,222
uber,2016-12-25T04:00:00Z,173
uber,2016-12-25T05:00:00Z,90
uber,2016-12-25T06:00:00Z,22
uber,2016-12-25T07:00:00Z,25
uber,2016-12-25T08:00:00Z,4
uber,2016-12-25T09:00:00Z,18
uber,2016-12-25T10:00:00Z,115
uber,2016-12-25T11:00:00Z,115
uber,2016-12-25T12:00:00Z,128
uber,2016-12-25T13:00:00Z,126
uber,2016-12-25T14:00:00Z,108
uber,2016-12-25T15:00:00Z,87
uber,2016-12-25T16:00:00Z,82
uber,2016-12-25T17:00:00Z,119
uber,2016-12-25T18:00:00Z,171
uber,2016-12-25T19:00:00Z,143
uber,2016-12-25T20:00:00Z,196
uber,2016-12-25T21:00:00Z,177
uber,2016-12-25T22:00:00Z,194
uber,2016-12-25T23:00:00Z,143
uber,2016-12-26T00:00:00Z,253
uber,2016-12-26T01:00:00Z,250
uber,2016-12-26T02:00:00Z,251
uber,2016-12-26T03:00:00Z,227
uber,2016-12-26T04:00:00Z,159
uber,2016-12-26T05:00:00Z,213
uber,2016-12-26T06:00:00Z,44
uber,2016-12-26T07:00:00Z,17
uber,2016-12-26T08:00:00Z,7
uber,2016-12-26T09:00:00Z,18
uber,2016-12-26T10:00:00Z,137
uber,2016-12-26T11:00:00Z,248
uber,2016-12-26T12:00:00Z,119
uber,2016-12-26T13:00:00Z,112
uber,2016-12-26T14:00:00Z,164
uber,2016-12-26T15:00:00Z,142
uber,2016-12-26T16:00:00Z,115
uber,2016-12-26T17:00:00Z,205
uber,2016-12-26T18:00:00Z,260
uber,2016-12-26T19:00:00Z,259
uber,2016-12-26T20:00:00Z,321
uber,2016-12-26T21:00:00Z,288
uber,2016-12-26T22:00:00Z,260
uber,2016-12-26T23:00:00Z,277
uber,2016-12-27T00:00:00Z,337
uber,2016-12-27T01:00:00Z,351
uber,2016-12-27T02:00:00Z,348
uber,2016-12-27T03:00:00Z,525
uber,2016-12-27T04:00:00Z,404
uber,2016-12-27T05:00:00Z,488
uber,2016-12-27T06:00:00Z,150
uber,2016-12-27T07:00:00Z,24
uber,2016-12-27T08:00:00Z,7
uber,2016-12-27T09:00:00Z,26
uber,2016-12-27T10:00:00Z,223
uber,2016-12-27T11:00:00Z,407
uber,2016-12-27T12:00:00Z,190
uber,2016-12-27T13:00:00Z,292
uber,2016-12-27T14:00:00Z,184
uber,2016-12-27T15:00:00Z,169
uber,2016-12-27T16:00:00Z,160
uber,2016-12-27T17:00:00Z,187
uber,2016-12-27T18:00:00Z,230
uber,2016-12-27T19:00:00Z,333
uber,2016-12-27T20:00:00Z,356
uber,2016-12-27T21:00:00Z,277
uber,2016-12-27T22:00:00Z,275
uber,2016-12-27T23:00:00Z,295
uber,2016-12-28T00:00:00Z,249
uber,2016-12-28T01:00:00Z,371
uber,2016-12-28T02:00:00Z,462
uber,2016-12-28T03:00:00Z,482
uber,2016-12-28T04:00:00Z,438
uber,2016-12-28T05:00:00Z,292
uber,2016-12-28T06:00:00Z,115
uber,2016-12-28T07:00:00Z,23
uber,2016-12-28T08:00:00Z,10
uber,2016-12-28T09:00:00Z,29
