locationid,zone,borough,lyft_share_change,pre_strike_lyft_share,post_strike_lyft_share,rest_of_2017_lyft_share,lyft_share_2016,lyft_share_change_pct,pre_strike_lyft_share_pct,post_strike_lyft_share_pct,rest_of_2017_lyft_share_pct,lyft_share_2016_pct
263,Yorkville West,Manhattan,0.03983160827336331411,0.12166727937958440558,0.16149888765294771969,0.18479527258763968814,0.13165594545664650822,4%,12%,16%,18%,13%
127,Inwood,Manhattan,0.03915243552349614625,0.17875141417258047928,0.21790384969607662553,0.17784480221951322040,0.21463295914331781814,4%,18%,22%,18%,21%
139,Laurelton,Queens,0.03899908283982737532,0.17006607296753806377,0.20906515580736543909,0.20414849716438751550,0.19493265038806670446,4%,17%,21%,20%,19%
140,Lenox Hill East,Manhattan,0.03856964414662680266,0.12033464120107655890,0.15890428534770336156,0.18455184176361275870,0.12642449559271670570,4%,12%,16%,18%,13%
28,Briarwood/Jamaica Hills,Queens,0.03851129149958040163,0.20569321786847294864,0.24420450936805335027,0.22231173313248991811,0.21187919818056804358,4%,21%,24%,22%,21%
156,Mariners Harbor,Staten Island,0.03827160493827160494,0.18395061728395061728,0.22222222222222222222,0.21348172046908702035,0.14979695431472081218,4%,18%,22%,21%,15%
15,Bay Terrace/Fort Totten,Queens,0.03797823047152367312,0.15223311546840958606,0.19021134593993325918,0.17402871427916150635,0.13378831558510325352,4%,15%,19%,17%,13%
230,Times Sq/Theatre District,Manhattan,0.03752366962171961227,0.10004781671644687147,0.13757148633816648374,0.16596779662998865749,0.08886040905468650878,4%,10%,14%,17%,9%
162,Midtown East,Manhattan,0.03721539219991166218,0.08403323480643068272,0.12124862700634234490,0.14495380356523630123,0.07812818734445759047,4%,8%,12%,14%,8%
115,Grymes Hill/Clifton,Staten Island,0.03685591890428913557,0.13292336802270577105,0.16977928692699490662,0.17683329162021341949,0.12246855079821740847,4%,13%,17%,18%,12%
63,Cypress Hills,Brooklyn,0.03625791636038154281,0.22782284878308285676,0.26408076514346439957,0.20680131015576068095,0.26915283713833356576,4%,23%,26%,21%,27%
70,East Elmhurst,Queens,0.03617495644628438785,0.22975910948778154622,0.26593406593406593407,0.27542781393106772716,0.20626653371022638306,4%,23%,27%,28%,21%
154,Marine Park/Floyd Bennett Field,Brooklyn,0.03591474514563106796,0.16796875000000000000,0.20388349514563106796,0.14346065833480021123,0.16349337748344370861,4%,17%,20%,14%,16%
192,Queensboro Hill,Queens,0.03569188989207626272,0.23112552107457156091,0.26681741096664782363,0.22109714647063473243,0.21582473888195493661,4%,23%,27%,22%,22%
167,Morrisania/Melrose,Bronx,0.03546870560495994640,0.22077189589879945210,0.25624060150375939850,0.15783700318950850827,0.27719207443995634416,4%,22%,26%,16%,28%
170,Murray Hill,Manhattan,0.03536484783322316467,0.10760518438366334679,0.14297003221688651146,0.17864602861766732362,0.11518275879289758153,4%,11%,14%,18%,12%
262,Yorkville East,Manhattan,0.03534136005667681690,0.10489174017642341620,0.14023310023310023310,0.16423653408657690869,0.11840609721139177831,4%,10%,14%,16%,12%
51,Co-Op City,Bronx,0.03531445540765121148,0.17734474953252632615,0.21265920494017753763,0.14894708298474331863,0.21031242062484124968,4%,18%,21%,15%,21%
218,Springfield Gardens North,Queens,0.03498772206051098830,0.20791595406792084046,0.24290367612843182876,0.22724729758406265875,0.21135417150465220690,3%,21%,24%,23%,21%
143,Lincoln Square West,Manhattan,0.03471364594359028956,0.09871096990914057915,0.13342461585273086871,0.16565144663218976424,0.10929039753678270990,3%,10%,13%,17%,11%
260,Woodside,Queens,0.03452490621819132974,0.21266060528450078969,0.24718551150269211943,0.21259665454068450506,0.22650056095736724009,3%,21%,25%,21%,23%
212,Soundview/Bruckner,Bronx,0.03437667778210135897,0.22744845360824742268,0.26182513139034878165,0.17604074790156484559,0.27519192968141527278,3%,23%,26%,18%,28%
259,Woodlawn/Wakefield,Bronx,0.03411704808719691944,0.13738152275804603687,0.17149857084524295631,0.12256248646828165219,0.19112789051439358188,3%,14%,17%,12%,19%
96,Forest Park/Highland Park,Queens,0.03378648120521925493,0.28489483747609942639,0.31868131868131868132,0.17604862556127477823,0.24167675544794188862,3%,28%,32%,18%,24%
197,Richmond Hill,Queens,0.03378294169327660596,0.25930579550808858175,0.29308873720136518771,0.26454003162069405347,0.24836898308935700607,3%,26%,29%,26%,25%
163,Midtown North,Manhattan,0.03363734502865721496,0.08313667840148555070,0.11677402343014276566,0.14574679670464328580,0.07851041788398291525,3%,8%,12%,15%,8%
76,East New York,Brooklyn,0.03361716995976140243,0.21040901661961666631,0.24402618657937806874,0.18795749191084366559,0.25658587987355110643,3%,21%,24%,19%,26%
72,East Flatbush/Remsen Village,Brooklyn,0.03332949777851694677,0.17545396863764087380,0.20878346641615782057,0.15693172787752497850,0.23923082444708528405,3%,18%,21%,16%,24%
137,Kips Bay,Manhattan,0.03329295814090225955,0.13097249846715219309,0.16426545660805445264,0.18413598950358935155,0.15385645232850482202,3%,13%,16%,18%,15%
131,Jamaica Estates,Queens,0.03317671488022955821,0.16378116343490304709,0.19695787831513260530,0.18086771387112921929,0.18594441998394239983,3%,16%,20%,18%,19%
161,Midtown Center,Manhattan,0.03236286913554026237,0.07512126627521062037,0.10748413541075088274,0.11674141253698085653,0.07086007175807278319,3%,8%,11%,12%,7%
208,Schuylerville/Edgewater Park,Bronx,0.03223310579374988380,0.21711366538952745849,0.24934677118327734229,0.18853531149670255289,0.24211373878261321282,3%,22%,25%,19%,24%
184,Pelham Bay Park,Bronx,0.03220219158713326264,0.15072463768115942029,0.18292682926829268293,0.12372634643377001456,0.16374908825674690007,3%,15%,18%,12%,16%
82,Elmhurst,Queens,0.03211161069484877295,0.25710846998646005717,0.28922008068130883012,0.21016650286176793664,0.26192063354509275863,3%,26%,29%,21%,26%
229,Sutton Place/Turtle Bay North,Manhattan,0.03187411354061633098,0.10498396892839454683,0.13685808246901087781,0.15044816287432433460,0.10296410311022174121,3%,10%,14%,15%,10%
258,Woodhaven,Queens,0.03171176278487010755,0.28803017269900086019,0.31974193548387096774,0.26784808251393441105,0.27372678719077521285,3%,29%,32%,27%,27%
236,Upper East Side North,Manhattan,0.03159994136568807517,0.07887098859002831929,0.11047092995571639446,0.13692186800656990038,0.08019781326101645723,3%,8%,11%,14%,8%
83,Elmhurst/Maspeth,Queens,0.03155099435334965980,0.23326959847036328872,0.26482059282371294852,0.22227028549584532121,0.24448931165830610078,3%,23%,26%,22%,24%
176,Oakwood,Staten Island,0.03136740906059545584,0.09502664298401420959,0.12639405204460966543,0.13384097916472017191,0.10667058477813693800,3%,10%,13%,13%,11%
233,UN/Turtle Bay South,Manhattan,0.03086523482739357716,0.11759082217973231358,0.14845605700712589074,0.15264413486346087351,0.12107830807116261882,3%,12%,15%,15%,12%
242,Van Nest/Morris Park,Bronx,0.03060584111384650065,0.17282487451199107641,0.20343071562583757706,0.15313746948396329657,0.21865413666231082196,3%,17%,20%,15%,22%
35,Brownsville,Brooklyn,0.03059769482213938578,0.20250195465207193120,0.23309964947421131698,0.19289732782997910979,0.26701616160738717061,3%,20%,23%,19%,27%
