base_number,base_name,dba,dba_category
B01949,FIRST CLASS OF NEW YORK INC.,NEW YORK FIRST CLASS,other
B01957,"ANIMO, INC",CHRIS LIMOUSINE U.S.A.,other
B01958,ST.ALBANS-HOLLIS CAR SERVICE INC.,,other
B01963,"PORTTAL CAR SERVICE,CORP.",,other
B01964,"GOLDEN TOUCH TRANSPORTATION OF NY, INC.",ECAR NEW YORK,other
B01970,GRAFE STREET SERVICE CORP.,,other
B01973,RAJA CAR & LIMOUSINE SERVICE INC.,ANGEL CAR SERVICE,other
B01976,PARTNERS DYNAMIC SECURITY TRANSPORTATION INC,PARTNERS EXECUTIVE TRANSP,other
B01977,USA CAR SERVICE INC.,,other
B01979,DREAMLAND CAR & LIMO.SVC INC.,,other
B01980,"READY TO ROLL TRANSPORTATION, INC.",,other
B01984,NY 88 EXPRESS CORP.,,other
B01985,"LUXURY WORLDWIDE TRANSPORTATION, LLC",,other
B01989,"ICS-NY, INC.",,other
B01990,SUK INCORPORATED,RAINBOW LIMO,other
B01995,NYMEX UNO EXECUTIVE SEDAN'S INC,NYMEX CAR SERVICE,other
B01996,PUEBLA EXP.CORP.,,other
B01998,FIRST CORPORATE SEDANS INC.,,other
B02003,"AVALON CORPORATE CAR,INC.",,other
B02004,METROPOLITAN MULTIPLEX CAR SERVICE CORP.,,other
B02005,CAR LINE TRANSPORTATION CORP.,CAR LINE TRANSPORTATION CORP.,other
B02006,AMERICA UNITED MULTIPLEX CAR SERVICE CORP.,,other
B02011,EXECUTIVE TOWN CAR & LIMO CORP.,,other
B02016,PLANET LIMOUSINE LLC,,other
B02021,EASYRIDE CAR SERVICE INC.,,other
B02022,GOLD SEAL CAR & LIMO INC.,,other
B02026,A RIDE FOR ALL LLC,,other
B02027,"PARIS LIMOUSINE SERVICE, CORP",,other
B02028,FOREST AVENUE CAR SERVICE INC,,other
B02032,GLORY CAR & LIMO SERVICE INC.,,other
B02034,NEW IMPERIAL CAR SERVICE INC,,other
B02037,KINGSDALE DISPATCH INC,,other
B02050,"MAZIN  CAR & LIMO SVC., LLC",,other
B02054,REGAL CARRIAGE LUX. CAR & LIMO. SVC INC.,,other
B02055,"MONTAGUE MANAGEMENT SERVICES, INC.",PROMINENT CAR & LIMO,other
B02058,MEX SERVICE INC,MEX EXPRESS CAR SERVICE,other
B02060,AMERICAN LIMOUSINE INC.,FLYTE TYME TRANSPORTATION,other
B02061,ROYAL COACHMAN LTD.,,other
B02067,GROUP AMERICAR TRANSP. LLC,,other
B02073,"STARGATE LIMOUSINE, INC.",,other
B02080,#1 MEXICALY CAR SERVICES CORP,4 U LUXURY CAR SERVICE,other
B02089,MY STREET CAR & LIMO SVC INC.,,other
B02093,V.J. CAR & LIMO SVC INC.,,other
B02095,"COMMONWEALTH WORLDWIDE CHAUFFEURED TRANSP. OF NY,",,other
B02096,"CET GROUP, INC",,other
B02099,SUNNY'S LIMOUSINE SERVICE INC,SSS LIMO SERVICE,other
B02101,EXEC TRANSPORT INC,EAST COAST WORLDWIDE LIMOUSINE,other
B02102,"GOLDEN DRAGON EXPRESS, INC",,other
B02103,A & S LIMOUSINE SERVICE CORP,,other
B02106,"PERFECT LIMO SERVICE, INC.",,other
B02107,APOLLO RADIO DISPATCH INC.,,other
B02110,"OPTIMUM CAR & LIMO, INC.",,other
B02111,HUANG HOU CAR SERVICES INC.,HUANG HOU CAR SERVICES INC.,other
B02120,HARRISON GLOBAL LLC,BOSTON COACH,other
B02121,KINGS PLAZA CAR & LIMO INC,,other
B02127,"CONTINENTAL RIDE, INC.",I + I TRANSPORTATION,other
B02132,D.WILTSHIRE STRETCH LIMO. INC.,D. WILTSHIRE STRETCH LIMO. INC.,other
B02133,"TWR CAR & LIMO, INC.",,other
B02138,"GUADALUPANA CAR LIMO, INC",,other
B02142,ASCENT LIMOUSINE INC.,,other
B02144,"SILVER STAR LIMOUSINES, INC.",,other
B02145,2020 CAR SERVICE INC,,other
B02147,"MITA LIMOUSINE, INC.",,other
B02148,MAVRIK TRANS INC.,,other
B02152,"KYOEI LIMOUSINE, INC.","KYOEI LIMOUSINE, INC.",other
B02155,ABA LUXURY CAR INC.,,other
B02157,REAGAN CONVEYANCE  CORP.,DELUX TRANSPORTATION SERVICES,other
B02160,"12TH STREET LUXURY CARS, INC.",,other
B02162,A B C SHUTTLE SERVICE CORPORATION.,ABC CAR SERVICES,other
B02163,MEGA MEX INC.,,other
B02167,MADISON LIMOUSINE INC,,other
B02173,ADMIRE LLP LLC,,other
B02175,MURRAY'S LIMOUSINE SERVICE INC.,,other
B02180,PEGASUS TRANSPORT SERVICE INC.,,other
B02182,"FINEST CAR SERVICE, LLC",,other
B02183,BANGLA CAR & LIMO. SERVICE INC.,,other
B02184,"DMCLS, INC.",,other
B02191,US LIMO SYSTEM INC,,other
B02196,"N & T DOUBLE DIAMOND LIMOUSINES, INC.",,other
B02197,JAMES A LEASING INC.,,other
B02200,BCL NETWORK LLC,,other
B02202,SHERIF LIMO LLC,,other
B02207,"EASTERN LUXURY, INC.",,other
B02209,"SIX STARS OF NEW YORK, INC.",LIMO LAND,other
B02210,"MURRAY CAR SERVICE, INC.",,other
B02213,"EXPRESS 11 CAR SERVICE, INC.",,other
B02216,"FEDERAL TRANSIT, INC",,other
B02217,PCS LIMOUSINE INC.,,other
B02219,ALL QUEENS CAR & LIMOUSINE INC.,CAR ON TIME,other
B02222,L & D LIMOUSINE SERVICE CORP.,,other
B02228,SPECIAL RADIO DISP.CORP.,,other
B02229,NEW FAT INC.,ELEGANTE,other
B02240,NEW APPLE TRANS. INC.,PALPAL LIMO,other
B02241,"MARU & KITANO, INC.",,other
B02243,BARONAS LUXURY INC.,,other
B02245,OCEANA CAR AND LIMO,,other
B02248,HYBRID LIMO EXPRESS INC.,,other
B02249,"LA RAZA CAR SERVICE, INC.",,other
B02252,ASIANA LIMOUSINE INC.,,other
B02253,"CRESTWOOD CAR & LIMO SVC,LTD",,other
B02254,"FINESSE GROUP LIMOUSINE,INC.",,other
B02263,BASSETT INTERNATIONAL CORP.,,other
B02265,"COUNTY CAR SERVICE, INC.",,other
B02271,BLACKBIRD WORLDWIDE CORP.,,other
B02273,BENI'S LIMOUSINE SERVICE INC,,other
B02277,"LIMO VISION, INC.",,other
B02279,MATAMOROS CAR SERVICE INC.,,other
B02285,"VALERA GLOBAL, INC.",,other
B02287,"ROAD NEW YORK ENTERPRISES, INC.",DAI-ICHI LIMOUSINE,other
